assembly,reaction,flux,description
DSM27147_S345.asm1,EX_arg__L_e,-0.0108716573742407,L-Arginine
DSM27147_S345.asm1,EX_asn__L_e,-0.0088598318019,L-Asparagine
DSM27147_S345.asm1,EX_asp__L_e,-0.2238380911729582,L-Aspartate
DSM27147_S345.asm1,EX_ca2_e,-0.0001913066500545,Calcium
DSM27147_S345.asm1,EX_cl_e,-0.0001913066500545,Chloride
DSM27147_S345.asm1,EX_co2_e,4.114840474454221,CO2 CO2
DSM27147_S345.asm1,EX_cobalt2_e,-3.675439962622645e-06,Co2+
DSM27147_S345.asm1,EX_csn_e,-0.0059,Cytosine
DSM27147_S345.asm1,EX_cys__L_e,-0.003400167886622,L-Cysteine
DSM27147_S345.asm1,EX_fe2_e,-0.0002468057934901,Fe2+ mitochondria
DSM27147_S345.asm1,EX_fe3_e,-0.0002869783522815,Iron (Fe3+)
DSM27147_S345.asm1,EX_fol_e,-2.45886933499459e-05,Folate
DSM27147_S345.asm1,EX_gln__L_e,-0.0320750499922126,L-Glutamine
DSM27147_S345.asm1,EX_glu__L_e,-0.027572163851151,L-Glutamate
DSM27147_S345.asm1,EX_gua_e,-0.006,Guanine
DSM27147_S345.asm1,EX_h2o_e,-4.317002623691863,H2O H2O
DSM27147_S345.asm1,EX_h_e,1.2503185756280677,H+
DSM27147_S345.asm1,EX_his__L_e,-0.0034820383117894,L-Histidine
DSM27147_S345.asm1,EX_ile__L_e,-0.0106782189690079,L-Isoleucine
DSM27147_S345.asm1,EX_isobuta_e,3.76761253586424,Isobutyric acid
DSM27147_S345.asm1,EX_k_e,-0.007174201526242,Potassium
DSM27147_S345.asm1,EX_leu__L_e,-0.0165589964180034,L-Leucine
DSM27147_S345.asm1,EX_lys__L_e,-0.0126126765301354,L-Lysine
DSM27147_S345.asm1,EX_met__L_e,-0.0056568328920728,L-Methionine
DSM27147_S345.asm1,EX_mg2_e,-0.0003188444167575,Magnesium
DSM27147_S345.asm1,EX_mn2_e,-2.5397290141722477e-05,Manganese
DSM27147_S345.asm1,EX_nh4_e,4.895940760783391,Ammonium
DSM27147_S345.asm1,EX_no3_e,-0.9694039621218352,Nitrate
DSM27147_S345.asm1,EX_phe__L_e,-0.0068093038467528,L-Phenylalanine
DSM27147_S345.asm1,EX_pi_e,-0.0362432561906237,Phosphate
DSM27147_S345.asm1,EX_pro__L_e,-0.0081247438093754,L-Proline
DSM27147_S345.asm1,EX_sel_e,-9.35399470487463e-06,Selenate
DSM27147_S345.asm1,EX_ser__L_e,-0.0239649160566885,L-Serine
DSM27147_S345.asm1,EX_slnt_e,9.35399470487463e-06,Selenite
DSM27147_S345.asm1,EX_so4_e,-0.0001594405855785,Sulfate
DSM27147_S345.asm1,EX_thm_e,4.833203550848776e-06,Thiamin
DSM27147_S345.asm1,EX_thr__L_e,-0.0233164581840836,L-Threonine
DSM27147_S345.asm1,EX_trp__L_e,-0.0020892303379535,L-Tryptophan
DSM27147_S345.asm1,EX_tyr__L_e,-0.0050813141255256,L-Tyrosine
DSM27147_S345.asm1,EX_ura_e,-0.0059,Uracil
DSM27147_S345.asm1,EX_val__L_e,-3.746563248823556,L-Valine
DSM27147_S345.asm1,EX_xan_e,-0.0029151104189378,Xanthine
