reaction,description,DSM27147_S345,M10_S153,M11_S154,M13_S155,M14_S347,M1_S149,M2_S150,M4_S151,M6_S346,M8_S152,W289_S348,W290_S156,W291_S157,W292_S349,W293_S158,W294_S159,W295_S160,W296_S350,W298_S161
12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24DECOAR,2 4 dienoyl CoA reductase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2DHPFALDL,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2HXMPt6,2  hydroxymethyl phenol transport inout via proton symport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2MBALDt,2 Methylbutanal transport  extracellular,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3A2OA,3-Aminopropanoate 2-oxoglutarate aminotransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
3NTD4pp,3'-nucleotidase (CMP) (periplasm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
3PEPTtex,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
